tract,NAME,White_45plus,White_45plus_Pct,Under18,Under18_Pct,Total_Pop
101,Census Tract 1.01; District of Columbia; District of Columbia,485,41.1,115,9.7,1181
102,Census Tract 1.02; District of Columbia; District of Columbia,1546,50.6,277,9.1,3056
201,Census Tract 2.01; District of Columbia; District of Columbia,35,1.2,18,0.6,2835
202,Census Tract 2.02; District of Columbia; District of Columbia,1574,39.7,233,5.9,3964
300,Census Tract 3; District of Columbia; District of Columbia,1457,25.7,1295,22.8,5669
400,Census Tract 4; District of Columbia; District of Columbia,546,31.8,323,18.8,1715
501,Census Tract 5.01; District of Columbia; District of Columbia,810,23.2,323,9.3,3490
502,Census Tract 5.02; District of Columbia; District of Columbia,922,26.7,793,23.0,3448
600,Census Tract 6; District of Columbia; District of Columbia,2046,46.9,940,21.5,4367
702,Census Tract 7.02; District of Columbia; District of Columbia,757,23.4,320,9.9,3239
703,Census Tract 7.03; District of Columbia; District of Columbia,1417,51.3,118,4.3,2764
704,Census Tract 7.04; District of Columbia; District of Columbia,864,35.9,286,11.9,2404
802,Census Tract 8.02; District of Columbia; District of Columbia,1084,34.6,569,18.1,3136
803,Census Tract 8.03; District of Columbia; District of Columbia,1106,43.9,400,15.9,2521
804,Census Tract 8.04; District of Columbia; District of Columbia,1364,38.6,955,27.0,3532
902,Census Tract 9.02; District of Columbia; District of Columbia,987,46.3,576,27.0,2134
903,Census Tract 9.03; District of Columbia; District of Columbia,468,14.6,269,8.4,3201
904,Census Tract 9.04; District of Columbia; District of Columbia,1279,39.4,854,26.3,3250
1002,Census Tract 10.02; District of Columbia; District of Columbia,783,23.4,520,15.5,3348
1003,Census Tract 10.03; District of Columbia; District of Columbia,1208,41.7,909,31.4,2895
1004,Census Tract 10.04; District of Columbia; District of Columbia,1562,39.5,997,25.2,3959
1100,Census Tract 11; District of Columbia; District of Columbia,1833,40.7,764,16.9,4508
1200,Census Tract 12; District of Columbia; District of Columbia,1734,36.8,741,15.7,4711
1301,Census Tract 13.01; District of Columbia; District of Columbia,1343,33.9,560,14.1,3965
1303,Census Tract 13.03; District of Columbia; District of Columbia,961,27.2,259,7.3,3537
1304,Census Tract 13.04; District of Columbia; District of Columbia,1278,31.3,122,3.0,4083
1401,Census Tract 14.01; District of Columbia; District of Columbia,1078,32.4,885,26.6,3324
1402,Census Tract 14.02; District of Columbia; District of Columbia,1317,37.8,844,24.2,3488
1500,Census Tract 15; District of Columbia; District of Columbia,2272,40.4,1500,26.7,5619
1600,Census Tract 16; District of Columbia; District of Columbia,445,8.8,1443,28.5,5071
1702,Census Tract 17.02; District of Columbia; District of Columbia,374,11.0,642,19.0,3387
1803,Census Tract 18.03; District of Columbia; District of Columbia,165,4.3,965,25.4,3795
1804,Census Tract 18.04; District of Columbia; District of Columbia,2,0.0,1705,31.4,5428
1901,Census Tract 19.01; District of Columbia; District of Columbia,285,6.2,1352,29.5,4581
1902,Census Tract 19.02; District of Columbia; District of Columbia,146,6.6,528,23.9,2212
2001,Census Tract 20.01; District of Columbia; District of Columbia,251,8.4,763,25.6,2983
2002,Census Tract 20.02; District of Columbia; District of Columbia,299,7.3,821,20.0,4106
2101,Census Tract 21.01; District of Columbia; District of Columbia,132,2.2,1789,30.1,5946
2102,Census Tract 21.02; District of Columbia; District of Columbia,216,4.3,1227,24.3,5043
2201,Census Tract 22.01; District of Columbia; District of Columbia,372,11.5,849,26.2,3238
2202,Census Tract 22.02; District of Columbia; District of Columbia,173,5.4,930,28.8,3228
2301,Census Tract 23.01; District of Columbia; District of Columbia,171,5.4,765,24.1,3170
2302,Census Tract 23.02; District of Columbia; District of Columbia,392,25.5,218,14.2,1538
2400,Census Tract 24; District of Columbia; District of Columbia,414,11.1,547,14.6,3735
2501,Census Tract 25.01; District of Columbia; District of Columbia,126,4.4,696,24.3,2860
2503,Census Tract 25.03; District of Columbia; District of Columbia,107,3.7,259,8.9,2909
2504,Census Tract 25.04; District of Columbia; District of Columbia,146,4.7,521,16.6,3132
2600,Census Tract 26; District of Columbia; District of Columbia,392,15.2,682,26.5,2578
2702,Census Tract 27.02; District of Columbia; District of Columbia,859,15.4,1238,22.2,5578
2703,Census Tract 27.03; District of Columbia; District of Columbia,354,15.3,292,12.6,2312
2704,Census Tract 27.04; District of Columbia; District of Columbia,361,12.2,427,14.4,2971
2801,Census Tract 28.01; District of Columbia; District of Columbia,188,4.8,899,23.2,3877
2802,Census Tract 28.02; District of Columbia; District of Columbia,491,9.9,1128,22.8,4951
2900,Census Tract 29; District of Columbia; District of Columbia,321,7.0,1136,24.7,4608
3000,Census Tract 30; District of Columbia; District of Columbia,199,5.6,666,18.8,3535
3100,Census Tract 31; District of Columbia; District of Columbia,56,1.6,458,13.0,3529
3200,Census Tract 32; District of Columbia; District of Columbia,252,6.1,978,23.7,4132
3301,Census Tract 33.01; District of Columbia; District of Columbia,427,12.1,284,8.1,3525
3302,Census Tract 33.02; District of Columbia; District of Columbia,117,5.2,341,15.3,2236
3400,Census Tract 34; District of Columbia; District of Columbia,146,3.6,254,6.3,4044
3500,Census Tract 35; District of Columbia; District of Columbia,162,3.6,175,3.9,4498
3600,Census Tract 36; District of Columbia; District of Columbia,475,10.6,446,9.9,4500
3701,Census Tract 37.01; District of Columbia; District of Columbia,217,9.9,246,11.2,2195
3702,Census Tract 37.02; District of Columbia; District of Columbia,188,6.7,483,17.2,2815
3801,Census Tract 38.01; District of Columbia; District of Columbia,314,20.7,72,4.8,1514
3802,Census Tract 38.02; District of Columbia; District of Columbia,419,11.6,223,6.2,3607
3901,Census Tract 39.01; District of Columbia; District of Columbia,163,6.0,339,12.4,2729
3902,Census Tract 39.02; District of Columbia; District of Columbia,494,27.8,325,18.3,1774
4001,Census Tract 40.01; District of Columbia; District of Columbia,993,25.0,407,10.2,3971
4002,Census Tract 40.02; District of Columbia; District of Columbia,973,29.6,396,12.0,3291
4100,Census Tract 41; District of Columbia; District of Columbia,868,36.7,300,12.7,2363
4201,Census Tract 42.01; District of Columbia; District of Columbia,879,27.3,51,1.6,3224
4202,Census Tract 42.02; District of Columbia; District of Columbia,430,16.5,87,3.3,2613
4300,Census Tract 43; District of Columbia; District of Columbia,485,11.1,403,9.2,4387
4401,Census Tract 44.01; District of Columbia; District of Columbia,385,11.4,587,17.3,3388
4402,Census Tract 44.02; District of Columbia; District of Columbia,370,14.8,228,9.1,2503
4600,Census Tract 46; District of Columbia; District of Columbia,199,6.5,512,16.7,3058
4702,Census Tract 47.02; District of Columbia; District of Columbia,278,8.0,67,1.9,3476
4703,Census Tract 47.03; District of Columbia; District of Columbia,153,4.5,361,10.6,3400
4704,Census Tract 47.04; District of Columbia; District of Columbia,15,0.9,465,29.4,1580
4801,Census Tract 48.01; District of Columbia; District of Columbia,197,7.2,205,7.5,2751
4802,Census Tract 48.02; District of Columbia; District of Columbia,220,7.4,313,10.5,2974
4901,Census Tract 49.01; District of Columbia; District of Columbia,383,11.3,417,12.3,3381
4902,Census Tract 49.02; District of Columbia; District of Columbia,442,13.1,338,10.0,3367
5001,Census Tract 50.01; District of Columbia; District of Columbia,382,18.5,241,11.7,2064
5003,Census Tract 50.03; District of Columbia; District of Columbia,325,18.4,15,0.8,1766
5004,Census Tract 50.04; District of Columbia; District of Columbia,399,10.8,423,11.4,3703
5202,Census Tract 52.02; District of Columbia; District of Columbia,1087,36.6,13,0.4,2973
5203,Census Tract 52.03; District of Columbia; District of Columbia,113,3.6,54,1.7,3114
5302,Census Tract 53.02; District of Columbia; District of Columbia,382,15.0,269,10.6,2547
5303,Census Tract 53.03; District of Columbia; District of Columbia,883,35.3,64,2.6,2503
5501,Census Tract 55.01; District of Columbia; District of Columbia,485,27.6,61,3.5,1759
5502,Census Tract 55.02; District of Columbia; District of Columbia,418,16.8,119,4.8,2487
5503,Census Tract 55.03; District of Columbia; District of Columbia,434,25.6,0,0.0,1693
5601,Census Tract 56.01; District of Columbia; District of Columbia,318,12.7,31,1.2,2508
5602,Census Tract 56.02; District of Columbia; District of Columbia,1061,26.3,241,6.0,4034
5801,Census Tract 58.01; District of Columbia; District of Columbia,534,30.0,72,4.0,1780
5802,Census Tract 58.02; District of Columbia; District of Columbia,499,25.8,13,0.7,1936
5900,Census Tract 59; District of Columbia; District of Columbia,307,12.8,23,1.0,2403
6400,Census Tract 64; District of Columbia; District of Columbia,70,2.4,516,17.3,2978
6500,Census Tract 65; District of Columbia; District of Columbia,654,25.7,440,17.3,2549
6600,Census Tract 66; District of Columbia; District of Columbia,525,24.4,346,16.1,2150
6700,Census Tract 67; District of Columbia; District of Columbia,1461,37.2,568,14.5,3930
6801,Census Tract 68.01; District of Columbia; District of Columbia,222,9.8,379,16.7,2271
6802,Census Tract 68.02; District of Columbia; District of Columbia,437,19.3,326,14.4,2264
6804,Census Tract 68.04; District of Columbia; District of Columbia,110,5.1,6,0.3,2143
6900,Census Tract 69; District of Columbia; District of Columbia,444,15.2,615,21.1,2913
7000,Census Tract 70; District of Columbia; District of Columbia,628,25.5,424,17.2,2462
7100,Census Tract 71; District of Columbia; District of Columbia,279,8.0,556,16.0,3485
7201,Census Tract 72.01; District of Columbia; District of Columbia,346,12.1,105,3.7,2850
7202,Census Tract 72.02; District of Columbia; District of Columbia,516,9.8,92,1.7,5262
7203,Census Tract 72.03; District of Columbia; District of Columbia,218,6.6,333,10.1,3305
