tract,NAME,White_Pop,White_Pct,Asian_Pop,Asian_Pct,Black_Pop,Black_Pct,Hispanic_Pop,Hispanic_Pct,Postgrad_Pop,Postgrad_Pct,Total_Pop
101,Census Tract 1.01; District of Columbia; District of Columbia,837,70.9,37,3.1,58,4.9,90,7.6,576,48.8,1181
102,Census Tract 1.02; District of Columbia; District of Columbia,2507,82.0,83,2.7,15,0.5,405,13.3,1416,46.3,3056
201,Census Tract 2.01; District of Columbia; District of Columbia,1538,54.3,529,18.7,220,7.8,381,13.4,42,1.5,2835
202,Census Tract 2.02; District of Columbia; District of Columbia,3087,77.9,256,6.5,97,2.4,384,9.7,1639,41.3,3964
300,Census Tract 3; District of Columbia; District of Columbia,3883,68.5,223,3.9,325,5.7,816,14.4,2303,40.6,5669
400,Census Tract 4; District of Columbia; District of Columbia,955,55.7,327,19.1,78,4.5,279,16.3,727,42.4,1715
501,Census Tract 5.01; District of Columbia; District of Columbia,2024,58.0,564,16.2,421,12.1,366,10.5,1793,51.4,3490
502,Census Tract 5.02; District of Columbia; District of Columbia,2330,67.6,127,3.7,150,4.4,491,14.2,1694,49.1,3448
600,Census Tract 6; District of Columbia; District of Columbia,3452,79.0,162,3.7,285,6.5,343,7.9,1995,45.7,4367
702,Census Tract 7.02; District of Columbia; District of Columbia,1774,54.8,273,8.4,741,22.9,310,9.6,1284,39.6,3239
703,Census Tract 7.03; District of Columbia; District of Columbia,1845,66.8,197,7.1,194,7.0,371,13.4,1443,52.2,2764
704,Census Tract 7.04; District of Columbia; District of Columbia,1761,73.3,189,7.9,84,3.5,286,11.9,1198,49.8,2404
802,Census Tract 8.02; District of Columbia; District of Columbia,2061,65.7,299,9.5,335,10.7,320,10.2,1318,42.0,3136
803,Census Tract 8.03; District of Columbia; District of Columbia,1739,69.0,307,12.2,198,7.9,213,8.4,1083,43.0,2521
804,Census Tract 8.04; District of Columbia; District of Columbia,2941,83.3,107,3.0,81,2.3,111,3.1,1182,33.5,3532
902,Census Tract 9.02; District of Columbia; District of Columbia,1613,75.6,43,2.0,194,9.1,182,8.5,978,45.8,2134
903,Census Tract 9.03; District of Columbia; District of Columbia,2423,75.7,155,4.8,214,6.7,292,9.1,501,15.7,3201
904,Census Tract 9.04; District of Columbia; District of Columbia,2347,72.2,125,3.8,271,8.3,275,8.5,1609,49.5,3250
1002,Census Tract 10.02; District of Columbia; District of Columbia,2717,81.2,216,6.5,141,4.2,155,4.6,1436,42.9,3348
1003,Census Tract 10.03; District of Columbia; District of Columbia,2280,78.8,114,3.9,175,6.0,219,7.6,1083,37.4,2895
1004,Census Tract 10.04; District of Columbia; District of Columbia,3049,77.0,292,7.4,143,3.6,279,7.0,1540,38.9,3959
1100,Census Tract 11; District of Columbia; District of Columbia,3005,66.7,362,8.0,575,12.8,257,5.7,2047,45.4,4508
1200,Census Tract 12; District of Columbia; District of Columbia,3310,70.3,350,7.4,489,10.4,368,7.8,2248,47.7,4711
1301,Census Tract 13.01; District of Columbia; District of Columbia,2502,63.1,80,2.0,676,17.0,377,9.5,1721,43.4,3965
1303,Census Tract 13.03; District of Columbia; District of Columbia,2385,67.4,186,5.3,409,11.6,432,12.2,1461,41.3,3537
1304,Census Tract 13.04; District of Columbia; District of Columbia,2687,65.8,218,5.3,231,5.7,504,12.3,2046,50.1,4083
1401,Census Tract 14.01; District of Columbia; District of Columbia,2024,60.9,446,13.4,230,6.9,523,15.7,1476,44.4,3324
1402,Census Tract 14.02; District of Columbia; District of Columbia,2202,63.1,100,2.9,395,11.3,340,9.7,1514,43.4,3488
1500,Census Tract 15; District of Columbia; District of Columbia,3931,70.0,79,1.4,645,11.5,605,10.8,2616,46.6,5619
1600,Census Tract 16; District of Columbia; District of Columbia,1025,20.2,21,0.4,3313,65.3,448,8.8,1792,35.3,5071
1702,Census Tract 17.02; District of Columbia; District of Columbia,1374,40.6,84,2.5,1312,38.7,279,8.2,1259,37.2,3387
1803,Census Tract 18.03; District of Columbia; District of Columbia,336,8.9,4,0.1,2091,55.1,1243,32.8,429,11.3,3795
1804,Census Tract 18.04; District of Columbia; District of Columbia,123,2.3,0,0.0,3091,56.9,2072,38.2,595,11.0,5428
1901,Census Tract 19.01; District of Columbia; District of Columbia,939,20.5,43,0.9,2592,56.6,907,19.8,795,17.4,4581
1902,Census Tract 19.02; District of Columbia; District of Columbia,542,24.5,50,2.3,1142,51.6,335,15.1,605,27.4,2212
2001,Census Tract 20.01; District of Columbia; District of Columbia,450,15.1,182,6.1,979,32.8,1313,44.0,494,16.6,2983
2002,Census Tract 20.02; District of Columbia; District of Columbia,1224,29.8,52,1.3,1639,39.9,770,18.8,1244,30.3,4106
2101,Census Tract 21.01; District of Columbia; District of Columbia,707,11.9,51,0.9,3295,55.4,1554,26.1,1103,18.6,5946
2102,Census Tract 21.02; District of Columbia; District of Columbia,756,15.0,83,1.6,2536,50.3,1411,28.0,1054,20.9,5043
2201,Census Tract 22.01; District of Columbia; District of Columbia,1109,34.2,85,2.6,937,28.9,901,27.8,780,24.1,3238
2202,Census Tract 22.02; District of Columbia; District of Columbia,731,22.6,25,0.8,1758,54.5,544,16.9,531,16.4,3228
2301,Census Tract 23.01; District of Columbia; District of Columbia,739,23.3,70,2.2,1575,49.7,600,18.9,708,22.3,3170
2302,Census Tract 23.02; District of Columbia; District of Columbia,517,33.6,57,3.7,836,54.4,88,5.7,367,23.9,1538
2400,Census Tract 24; District of Columbia; District of Columbia,1294,34.6,174,4.7,1143,30.6,903,24.2,1190,31.9,3735
2501,Census Tract 25.01; District of Columbia; District of Columbia,1043,36.5,48,1.7,1056,36.9,484,16.9,763,26.7,2860
2503,Census Tract 25.03; District of Columbia; District of Columbia,934,32.1,73,2.5,1236,42.5,554,19.0,719,24.7,2909
2504,Census Tract 25.04; District of Columbia; District of Columbia,902,28.8,180,5.7,733,23.4,1030,32.9,1143,36.5,3132
2600,Census Tract 26; District of Columbia; District of Columbia,906,35.1,16,0.6,1218,47.2,383,14.9,878,34.1,2578
2702,Census Tract 27.02; District of Columbia; District of Columbia,3146,56.4,325,5.8,538,9.6,1271,22.8,2005,35.9,5578
2703,Census Tract 27.03; District of Columbia; District of Columbia,1178,51.0,110,4.8,402,17.4,380,16.4,1075,46.5,2312
2704,Census Tract 27.04; District of Columbia; District of Columbia,1207,40.6,182,6.1,333,11.2,912,30.7,1051,35.4,2971
2801,Census Tract 28.01; District of Columbia; District of Columbia,1022,26.4,275,7.1,884,22.8,1341,34.6,967,24.9,3877
2802,Census Tract 28.02; District of Columbia; District of Columbia,1185,23.9,466,9.4,792,16.0,2280,46.1,1207,24.4,4951
2900,Census Tract 29; District of Columbia; District of Columbia,1609,34.9,236,5.1,1287,27.9,1152,25.0,1160,25.2,4608
3000,Census Tract 30; District of Columbia; District of Columbia,1056,29.9,180,5.1,1464,41.4,779,22.0,830,23.5,3535
3100,Census Tract 31; District of Columbia; District of Columbia,1740,49.3,109,3.1,660,18.7,860,24.4,1442,40.9,3529
3200,Census Tract 32; District of Columbia; District of Columbia,1720,41.6,145,3.5,1254,30.3,891,21.6,1017,24.6,4132
3301,Census Tract 33.01; District of Columbia; District of Columbia,1821,51.7,156,4.4,1134,32.2,250,7.1,1723,48.9,3525
3302,Census Tract 33.02; District of Columbia; District of Columbia,1038,46.4,116,5.2,887,39.7,104,4.7,776,34.7,2236
3400,Census Tract 34; District of Columbia; District of Columbia,1138,28.1,408,10.1,1757,43.4,429,10.6,901,22.3,4044
3500,Census Tract 35; District of Columbia; District of Columbia,1615,35.9,194,4.3,2145,47.7,293,6.5,1001,22.3,4498
3600,Census Tract 36; District of Columbia; District of Columbia,2350,52.2,240,5.3,1281,28.5,479,10.6,1585,35.2,4500
3701,Census Tract 37.01; District of Columbia; District of Columbia,986,44.9,144,6.6,214,9.7,739,33.7,739,33.7,2195
3702,Census Tract 37.02; District of Columbia; District of Columbia,1271,45.2,74,2.6,1085,38.5,319,11.3,667,23.7,2815
3801,Census Tract 38.01; District of Columbia; District of Columbia,1201,79.3,74,4.9,55,3.6,139,9.2,815,53.8,1514
3802,Census Tract 38.02; District of Columbia; District of Columbia,1774,49.2,275,7.6,480,13.3,674,18.7,1321,36.6,3607
3901,Census Tract 39.01; District of Columbia; District of Columbia,1315,48.2,74,2.7,674,24.7,586,21.5,1336,49.0,2729
3902,Census Tract 39.02; District of Columbia; District of Columbia,870,49.0,307,17.3,91,5.1,328,18.5,558,31.5,1774
4001,Census Tract 40.01; District of Columbia; District of Columbia,2706,68.1,212,5.3,402,10.1,416,10.5,1755,44.2,3971
4002,Census Tract 40.02; District of Columbia; District of Columbia,2097,63.7,128,3.9,167,5.1,510,15.5,1721,52.3,3291
4100,Census Tract 41; District of Columbia; District of Columbia,1529,64.7,101,4.3,287,12.1,382,16.2,1061,44.9,2363
4201,Census Tract 42.01; District of Columbia; District of Columbia,2377,73.7,209,6.5,157,4.9,284,8.8,998,31.0,3224
4202,Census Tract 42.02; District of Columbia; District of Columbia,1640,62.8,317,12.1,66,2.5,454,17.4,1028,39.3,2613
4300,Census Tract 43; District of Columbia; District of Columbia,2368,54.0,100,2.3,396,9.0,876,20.0,1851,42.2,4387
4401,Census Tract 44.01; District of Columbia; District of Columbia,1902,56.1,239,7.1,786,23.2,255,7.5,1672,49.4,3388
4402,Census Tract 44.02; District of Columbia; District of Columbia,1556,62.2,151,6.0,348,13.9,151,6.0,1017,40.6,2503
4600,Census Tract 46; District of Columbia; District of Columbia,1426,46.6,126,4.1,1240,40.5,210,6.9,886,29.0,3058
