Hispanic_Pop,Total_Pop,Median_Age,Owner_Occupied,Total_Occupied,Median_Year_Moved_In,NAME,state,county,tract,Hispanic_Pct,Owner_Pct,Years_Since_Moved_In
90,1181,44.1,436,803,1942,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101,7.6,54.3,82
405,3056,56.6,1212,1830,1938,Census Tract 1.02; District of Columbia; District of Columbia,11,001,000102,13.3,66.2,86
381,2835,19.8,0,0,-666666666,Census Tract 2.01; District of Columbia; District of Columbia,11,001,000201,13.4,,666668690
384,3964,37.3,1340,1832,1938,Census Tract 2.02; District of Columbia; District of Columbia,11,001,000202,9.7,73.1,86
816,5669,34.3,1442,2430,1940,Census Tract 3; District of Columbia; District of Columbia,11,001,000300,14.4,59.3,84
279,1715,48.0,381,698,1981,Census Tract 4; District of Columbia; District of Columbia,11,001,000400,16.3,54.6,43
366,3490,39.7,270,2220,1962,Census Tract 5.01; District of Columbia; District of Columbia,11,001,000501,10.5,12.2,62
491,3448,37.7,962,1739,1938,Census Tract 5.02; District of Columbia; District of Columbia,11,001,000502,14.2,55.3,86
343,4367,47.3,1485,2160,1938,Census Tract 6; District of Columbia; District of Columbia,11,001,000600,7.9,68.8,86
310,3239,30.9,644,2182,1957,Census Tract 7.02; District of Columbia; District of Columbia,11,001,000702,9.6,29.5,67
371,2764,64.4,1145,1878,1957,Census Tract 7.03; District of Columbia; District of Columbia,11,001,000703,13.4,61.0,67
286,2404,44.2,510,1458,1942,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704,11.9,35.0,82
320,3136,42.5,842,1458,1952,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802,10.2,57.8,72
213,2521,45.2,891,1284,1970,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803,8.4,69.4,54
111,3532,39.9,992,1229,1950,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804,3.1,80.7,74
182,2134,48.5,733,850,1953,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902,8.5,86.2,71
292,3201,19.6,336,382,1948,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903,9.1,88.0,76
