Precinct,Hispanic_Pct,Median_Age,Owner_Pct,Years_Since_Moved_In,Neighborhood
20,14.5,32.1,48.6,86.0,LeDroit Park
22,12.3,33.0,34.8,61.2,U Street
23,17.0,34.7,30.4,79.2,Columbia Heights
24,14.2,34.2,32.7,82.0,Adams Morgan
25,15.4,36.2,32.2,79.5,Adams Morgan
35,22.7,34.8,32.0,78.4,Adams Morgan
36,24.1,33.7,24.8,77.7,Columbia Heights
37,14.9,31.5,40.9,67.5,Pleasant Plains
38,21.7,33.7,49.2,85.4,Park View
39,24.6,34.4,36.6,80.3,Mount Pleasant/Columbia Heights
40,18.2,37.7,35.4,76.6,Mount Pleasant
41,31.0,33.4,35.5,79.1,Columbia Heights
42,25.4,33.7,50.6,70.6,Columbia Heights
43,20.8,36.4,53.4,73.4,Park View
137,9.7,30.3,38.3,53.9,U Street
