NAME,B01001_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_003E,state,county,tract,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,NonHisp_White
Census Tract 21.01; District of Columbia; District of Columbia,5946,2884,3062,1024,3549,0,51,0,817,505,1554,11,001,002101,344,530,100,0,112,0,0,0,30,179,327,294,199,148,149,0,9,51,242,90,39,0,41,348,298,128,41,0,82,32,52,203,162,540,522,0,173,181,44,0,46,83,16,21,59,31,3879,34,0,0,0,0,27,0,48,523,138,297,308,118,1005,920,146,37,0
Census Tract 21.02; District of Columbia; District of Columbia,5043,2183,2860,785,2579,20,83,0,1150,426,1411,11,001,002102,122,96,97,104,14,0,10,18,149,175,227,235,270,101,113,39,97,88,2,117,59,50,0,207,470,126,5,13,13,0,2,397,185,422,227,124,212,79,43,120,18,33,47,25,69,23,3746,0,0,0,0,0,0,0,24,519,72,193,666,133,914,740,278,36,0
Census Tract 22.01; District of Columbia; District of Columbia,3238,1822,1416,1553,937,0,85,0,456,207,901,11,001,002201,151,194,265,16,0,0,0,43,94,256,122,118,110,123,85,16,19,44,56,10,55,35,10,108,34,37,44,0,0,25,117,148,114,107,133,154,59,65,3,78,0,16,103,20,18,33,2204,117,0,12,0,0,8,58,0,291,84,75,196,7,481,488,205,87,652
Census Tract 22.02; District of Columbia; District of Columbia,3228,1398,1830,913,1758,6,25,0,253,273,544,11,001,002202,80,177,34,126,42,57,18,127,0,106,61,156,86,29,97,0,57,16,22,71,36,0,0,327,83,40,63,0,57,30,105,93,118,177,214,0,128,95,16,38,34,51,66,59,2,34,1862,75,0,0,0,0,0,0,73,359,46,73,131,43,383,379,131,21,369
Census Tract 23.01; District of Columbia; District of Columbia,3170,1414,1756,802,1594,9,70,0,330,365,600,11,001,002301,163,88,97,72,0,0,31,5,22,222,145,148,84,103,96,17,57,9,24,10,7,14,0,167,103,40,35,33,0,0,131,76,105,164,202,118,142,105,33,61,0,104,42,38,27,30,2205,3,0,0,0,0,0,0,0,310,52,58,210,36,706,551,58,99,202
Census Tract 23.02; District of Columbia; District of Columbia,1538,1051,487,517,836,0,57,0,26,102,88,11,001,002302,0,32,149,0,48,10,0,50,4,53,46,4,30,62,49,0,12,25,13,75,42,30,317,30,0,0,7,0,0,8,0,10,88,55,82,50,13,25,17,22,23,5,0,20,16,16,1204,0,0,0,0,0,0,0,0,178,8,121,150,59,233,297,49,21,429
Census Tract 24; District of Columbia; District of Columbia,3735,1930,1805,1570,1175,19,174,0,108,689,903,11,001,002400,95,64,18,3,19,22,18,26,254,236,163,96,137,158,284,145,60,0,54,37,23,14,4,96,107,91,73,21,0,0,16,228,229,193,110,88,61,90,0,59,28,109,110,41,11,44,3066,60,0,78,0,0,67,0,66,339,102,76,213,41,701,738,324,128,667
Census Tract 25.01; District of Columbia; District of Columbia,2860,1557,1303,1049,1056,0,48,26,359,322,484,11,001,002501,206,199,2,10,54,0,28,0,124,96,236,135,120,47,118,46,38,27,26,25,0,9,11,52,98,104,25,0,0,0,26,33,57,77,386,98,133,14,28,21,6,7,3,33,71,31,2056,12,0,0,0,0,0,25,0,268,35,49,289,64,521,490,83,190,565
Census Tract 25.03; District of Columbia; District of Columbia,2909,1579,1330,971,1340,48,73,0,348,129,554,11,001,002503,102,23,0,0,0,0,0,73,83,364,513,125,52,68,47,74,11,0,0,44,0,0,0,54,0,62,18,4,0,0,18,348,218,109,140,39,15,38,66,34,9,35,0,52,38,33,2555,39,0,0,0,0,9,0,0,187,124,89,106,63,1125,447,208,64,417
Census Tract 25.04; District of Columbia; District of Columbia,3132,1805,1327,1133,733,0,180,0,516,570,1030,11,001,002504,121,129,0,0,0,0,0,20,162,146,270,453,107,65,54,0,55,43,102,64,0,0,14,38,76,142,15,0,4,0,46,165,238,126,97,95,35,0,22,31,0,0,180,0,17,0,2541,69,0,0,0,22,68,0,0,221,25,0,121,2,665,846,165,132,103
Census Tract 26; District of Columbia; District of Columbia,2578,1261,1317,906,1226,0,16,0,198,232,383,11,001,002600,141,58,62,24,45,0,0,13,57,55,152,94,71,118,49,55,85,35,28,61,41,5,12,113,89,113,82,0,0,0,6,115,77,69,78,73,51,42,23,26,71,81,105,50,8,45,1832,2,0,0,0,9,47,10,0,85,76,12,105,16,554,417,324,137,523
