Precinct,Neighborhood,White_Pct,Hispanic_Pct,Asian_Pct,Black_Pct,Other_Pct,Postgrad_Pct,AntiNadeau_Rate,MinorityOther_Pct,MinorityOther_Score,Minority_Other_NonLeft_Dot,Postgrad_Inv,Postgrad_Inv_norm,Black_Pct_norm,Hispanic_Pct_norm,Asian_Pct_norm,AntiNadeau_Rate_norm,NotLeftist_Score,Not_Leftist_Dot
20,LeDroit Park,34.7,14.5,6.3,39.6,4.9,23.5,0.489,25.700000000000003,1.2,🟡,76.5,10.0,10.0,2.253521126760564,5.6,2.9551900170164487,10.0,🔴
22,U Street,54.8,12.3,5.2,20.5,7.3,36.9,0.604,24.8,0.7,🟡,63.1,3.767441860465117,3.413793103448276,1.220657276995306,3.4000000000000004,9.4781622234827,4.9,🟡
23,Columbia Heights,52.3,17.0,4.8,18.4,7.5,36.7,0.5172,29.3,2.9,🟡,63.3,3.860465116279068,2.6896551724137927,3.427230046948357,2.5999999999999996,4.554736245036869,3.3,🟡
24,Adams Morgan,62.5,14.2,5.3,10.6,7.4,43.3,0.5281,26.9,1.7,🟡,56.7,0.7906976744186061,0.0,2.112676056338028,3.5999999999999996,5.1730005672149755,0.0,🟡
25,Adams Morgan,58.0,15.4,7.8,11.9,6.9,45.0,0.5809,30.1,3.2,🟡,55.0,0.0,0.4482758620689658,2.6760563380281694,8.6,8.167895632444695,2.3,🟡
35,Adams Morgan,49.9,22.7,8.5,13.0,5.9,38.2,0.4781,37.1,6.5,🔴,61.8,3.1627906976744176,0.8275862068965518,6.103286384976525,10.0,2.336925694838345,3.8,🟡
36,Columbia Heights,40.8,24.1,6.0,24.6,4.5,31.6,0.5273,34.6,5.3,🔴,68.4,6.232558139534886,4.8275862068965525,6.760563380281691,5.0,5.127623369256948,8.0,🔴
37,Pleasant Plains,42.3,14.9,5.4,32.8,4.6,31.3,0.5038,24.9,0.8,🟡,68.7,6.372093023255815,7.655172413793102,2.441314553990611,3.8000000000000007,3.7946681792399337,6.6,🔴
38,Park View,38.3,21.7,4.2,31.7,4.1,27.8,0.4534,30.0,3.2,🟡,72.2,8.000000000000002,7.275862068965518,5.633802816901409,1.4000000000000004,0.9359047078842891,7.2,🔴
39,Mt Pleasant/Col Hts,43.4,24.6,7.3,19.5,5.2,35.1,0.5284,37.1,6.5,🔴,64.9,4.6046511627907005,3.0689655172413794,6.99530516431925,7.6,5.190017016449234,6.9,🔴
40,Mount Pleasant,53.1,18.2,6.7,15.0,7.1,42.1,0.4632,32.0,4.1,🟡,57.9,1.3488372093023249,1.5172413793103452,3.9906103286384975,6.4,1.4917753828701075,0.9,🟡
41,Columbia Heights,32.1,31.0,6.4,23.2,7.2,29.3,0.4514,44.6,10.0,🔴,70.7,7.30232558139535,4.344827586206897,10.0,5.800000000000001,0.8224617129892238,8.2,🔴
42,Columbia Heights,36.6,25.4,4.2,27.6,6.3,31.5,0.4751,35.9,5.9,🔴,68.5,6.279069767441861,5.862068965517241,7.370892018779342,1.4000000000000004,2.1667612024957474,6.7,🔴
43,Park View,39.1,20.8,3.5,32.4,4.1,29.9,0.4369,28.4,2.4,🟡,70.1,7.023255813953487,7.517241379310344,5.211267605633804,0.0,0.0,5.7,🟡
137,U Street,43.9,9.7,6.5,32.8,7.0,32.9,0.6132,23.2,0.0,🟡,67.1,5.627906976744184,7.655172413793102,0.0,6.0,10.0,8.3,🔴
