NAME,Total_Pop,White_alone,Black_alone,AIAN_alone,Asian_alone,NHPI_alone,Other_alone,Two_plus_races,Hispanic_Pop,state,county,tract,NonHisp_White,Hispanic_Pct,White_Pct,Black_Pct,Asian_Pct,Other_Pct
Census Tract 21.01; District of Columbia; District of Columbia,5946,1024,3549,0,51,0,817,505,1554,11,001,002101,0,26.1,0.0,59.7,0.9,22.2
Census Tract 21.02; District of Columbia; District of Columbia,5043,785,2579,20,83,0,1150,426,1411,11,001,002102,0,28.0,0.0,51.1,1.6,31.6
Census Tract 22.01; District of Columbia; District of Columbia,3238,1553,937,0,85,0,456,207,901,11,001,002201,652,27.8,20.1,28.9,2.6,20.5
Census Tract 22.02; District of Columbia; District of Columbia,3228,913,1758,6,25,0,253,273,544,11,001,002202,369,16.9,11.4,54.5,0.8,16.5
Census Tract 23.01; District of Columbia; District of Columbia,3170,802,1594,9,70,0,330,365,600,11,001,002301,202,18.9,6.4,50.3,2.2,22.2
Census Tract 23.02; District of Columbia; District of Columbia,1538,517,836,0,57,0,26,102,88,11,001,002302,429,5.7,27.9,54.4,3.7,8.3
Census Tract 24; District of Columbia; District of Columbia,3735,1570,1175,19,174,0,108,689,903,11,001,002400,667,24.2,17.9,31.5,4.7,21.8
Census Tract 25.01; District of Columbia; District of Columbia,2860,1049,1056,0,48,26,359,322,484,11,001,002501,565,16.9,19.8,36.9,1.7,24.7
Census Tract 25.03; District of Columbia; District of Columbia,2909,971,1340,48,73,0,348,129,554,11,001,002503,417,19.0,14.3,46.1,2.5,18.0
Census Tract 25.04; District of Columbia; District of Columbia,3132,1133,733,0,180,0,516,570,1030,11,001,002504,103,32.9,3.3,23.4,5.7,34.7
Census Tract 26; District of Columbia; District of Columbia,2578,906,1226,0,16,0,198,232,383,11,001,002600,523,14.9,20.3,47.6,0.6,16.7
Census Tract 27.02; District of Columbia; District of Columbia,5578,3325,538,98,325,0,347,945,1271,11,001,002702,2054,22.8,36.8,9.6,5.8,24.9
Census Tract 27.03; District of Columbia; District of Columbia,2312,1191,427,0,128,0,96,470,380,11,001,002703,811,16.4,35.1,18.5,5.5,24.5
Census Tract 27.04; District of Columbia; District of Columbia,2971,1469,333,0,182,0,478,509,912,11,001,002704,557,30.7,18.7,11.2,6.1,33.2
