Precinct,Hispanic_Pct,Median_Age,Owner_Pct,Years_Since_Moved_In,Neighborhood,Hispanic_Score,Age_Score,Owner_Score,Tenure_Score,Hispanic_Dot,White_NonLeft_Dot,AntiNadeau_Score,Anti_Nadeau_Dot,Crime_Score,Crime_Dot,White_45plus_Pct,White_45plus_Score,White_46plus_Dot,Under18_Pct,Schools_Score,Schools_Dot
20,14.5,32.1,48.6,86.0,LeDroit Park,🟡,🟡,🔴,🔴,🟡,🔴,0.0,🟡,0.0,🟡,8.1,2.0,🟡,15.0,5.8,🟡
22,12.3,33.0,34.8,61.2,U Street,🟡,🟡,🟡,🟡,🟡,🟡,10.0,🔴,10.0,🔴,12.6,4.6,🟡,8.4,0.3,🟡
23,17.0,34.7,30.4,79.2,Columbia Heights,🟡,🟡,🟡,🟡,🟡,🟡,4.7,🟡,1.3,🟡,11.1,3.7,🟡,9.9,1.5,🟡
24,14.2,34.2,32.7,82.0,Adams Morgan,🟡,🟡,🟡,🔴,🟡,🟡,5.5,🟡,2.1,🟡,20.4,9.0,🔴,8.1,0.0,🟡
25,15.4,36.2,32.2,79.5,Adams Morgan,🟡,🔴,🟡,🟡,🟡,🔴,9.1,🔴,2.8,🟡,22.2,10.0,🔴,10.9,2.4,🟡
35,22.7,34.8,32.0,78.4,Adams Morgan,🔴,🟡,🟡,🟡,🔴,🟡,3.8,🟡,3.4,🟡,16.2,6.6,🔴,15.3,6.1,🔴
36,24.1,33.7,24.8,77.7,Columbia Heights,🔴,🟡,🟡,🟡,🔴,🟡,5.7,🟡,3.1,🟡,8.8,2.4,🟡,14.5,5.4,🟡
37,14.9,31.5,40.9,67.5,Pleasant Plains,🟡,🟡,🟡,🟡,🟡,🟡,4.3,🟡,8.6,🔴,6.2,1.0,🟡,12.4,3.6,🟡
38,21.7,33.7,49.2,85.4,Park View,🟡,🟡,🔴,🔴,🟡,🔴,1.7,🟡,2.5,🟡,7.0,1.4,🟡,19.9,9.9,🔴
39,24.6,34.4,36.6,80.3,Mount Pleasant/Columbia Heights,🔴,🟡,🟡,🔴,🔴,🟡,6.2,🔴,8.2,🔴,11.5,4.0,🟡,18.2,8.5,🔴
40,18.2,37.7,35.4,76.6,Mount Pleasant,🟡,🔴,🟡,🟡,🟡,🔴,3.2,🟡,1.3,🟡,19.3,8.4,🔴,14.7,5.5,🟡
41,31.0,33.4,35.5,79.1,Columbia Heights,🔴,🟡,🟡,🟡,🔴,🟡,1.9,🟡,3.1,🟡,8.1,2.0,🟡,20.0,10.0,🔴
42,25.4,33.7,50.6,70.6,Columbia Heights,🔴,🟡,🔴,🟡,🔴,🔴,1.9,🟡,0.9,🟡,4.5,0.0,🟡,16.8,7.3,🔴
43,20.8,36.4,53.4,73.4,Park View,🟡,🔴,🔴,🟡,🟡,🔴,0.0,🟡,1.1,🟡,7.7,1.8,🟡,15.5,6.2,🔴
137,9.7,30.3,38.3,53.9,U Street,🟡,🟡,🟡,🟡,🟡,🟡,6.2,🔴,4.8,🟡,7.3,1.6,🟡,8.4,0.3,🟡
