Precinct,Neighborhood,Registered_Dems,Biz_Closed_Since2015,Crime_Incidents,Homicides,Anti_Nadeau_Pct,Czapary_Vote_Pct,Harris_Vote_Pct,Hispanic_Pct,Black_Pct,White_Pct,Asian_Pct,Asian_Other_Pct,Minrty_NoAlign_Pct,Postgrad_Pct,Median_Age,Under18_Pct,White_46plus_Pct,Not_Leftist_Score,Homeowner_Pct
20,LeDroit Park,870,32,384,1.0,48.9,32.0,16.5,14.5,39.6,34.7,6.3,11.2,25.7,23.5,32.1,15.0,8.1,10.0,48.6
22,U Street,4038,303,4124,13.0,60.4,41.9,18.1,12.3,20.5,54.8,5.2,12.5,24.8,36.9,33.0,8.4,12.6,4.9,34.8
23,Columbia Heights,2978,128,866,4.0,51.7,30.2,21.4,17.0,18.4,52.3,4.8,12.3,29.3,36.7,34.7,9.9,11.1,3.3,30.4
24,Adams Morgan,2756,171,1167,3.0,52.8,34.9,17.9,14.2,10.6,62.5,5.3,12.7,26.9,43.3,34.2,8.1,20.4,0.0,32.7
25,Adams Morgan,4068,345,1439,,58.1,35.8,22.0,15.4,11.9,58.0,7.8,14.7,30.1,45.0,36.2,10.9,22.2,2.3,32.2
35,Adams Morgan,3479,139,1649,4.0,47.8,26.3,21.0,22.7,13.0,49.9,8.5,14.4,37.1,38.2,34.8,15.3,16.2,3.8,32.0
36,Columbia Heights,3962,164,1545,10.0,52.7,27.8,24.7,24.1,24.6,40.8,6.0,10.5,34.6,31.6,33.7,14.5,8.8,8.0,24.8
37,Pleasant Plains,3336,204,3581,14.0,50.4,34.1,16.3,14.9,32.8,42.3,5.4,10.0,24.9,31.3,31.5,12.4,6.2,6.6,40.9
38,Park View,2718,142,1305,11.0,45.3,24.2,20.8,21.7,31.7,38.3,4.2,8.3,30.0,27.8,33.7,19.9,7.0,7.2,49.2
39,Mt Pleasant/Col Hts,3911,207,3464,11.0,52.8,27.3,25.3,24.6,19.5,43.4,7.3,12.5,37.1,35.1,34.4,18.2,11.5,6.9,36.6
40,Mount Pleasant,3322,117,881,2.0,46.3,24.9,21.0,18.2,15.0,53.1,6.7,13.8,32.0,42.1,37.7,14.7,19.3,0.9,35.4
41,Columbia Heights,3337,164,1551,8.0,45.1,25.5,19.4,31.0,23.2,32.1,6.4,13.6,44.6,29.3,33.4,20.0,8.1,8.2,35.5
42,Columbia Heights,1713,75,713,2.0,47.5,30.0,17.4,25.4,27.6,36.6,4.2,10.5,35.9,31.5,33.7,16.8,4.5,6.7,50.6
43,Park View,1751,89,798,5.0,43.7,25.4,17.9,20.8,32.4,39.1,3.5,7.6,28.4,29.9,36.4,15.5,7.7,5.7,53.4
137,U Street,1110,136,2180,9.0,61.3,49.8,11.6,9.7,32.8,43.9,6.5,13.5,23.2,32.9,30.3,8.4,7.3,8.3,38.3
